problem_name,problem_link,num_occur
Permutations,https://leetcode.com/problems/permutations/,9
Search Insert Position,https://leetcode.com/problems/search-insert-position/,9
Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,9
Divide Two Integers,https://leetcode.com/problems/divide-two-integers/,9
Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,9
Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,9
String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,9
Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,8
Number of Distinct Islands,https://leetcode.com/problems/number-of-distinct-islands/,8
Kill Process,https://leetcode.com/problems/kill-process/,8
LFU Cache,https://leetcode.com/problems/lfu-cache/,8
Delete Node in a BST,https://leetcode.com/problems/delete-node-in-a-bst/,8
String Compression,https://leetcode.com/problems/string-compression/,8
Move Zeroes,https://leetcode.com/problems/move-zeroes/,8
Missing Number,https://leetcode.com/problems/missing-number/,8
Valid Anagram,https://leetcode.com/problems/valid-anagram/,8
Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks/,8
Find Peak Element,https://leetcode.com/problems/find-peak-element/,8
Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,8
Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,8
Single Number,https://leetcode.com/problems/single-number/,8
Candy,https://leetcode.com/problems/candy/,8
Clone Graph,https://leetcode.com/problems/clone-graph/,8
Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,8
Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,8
Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,8
Sort Colors,https://leetcode.com/problems/sort-colors/,8
Edit Distance,https://leetcode.com/problems/edit-distance/,8
Simplify Path,https://leetcode.com/problems/simplify-path/,8
Unique Paths,https://leetcode.com/problems/unique-paths/,8
Rotate Image,https://leetcode.com/problems/rotate-image/,8
Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,8
Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,8
Design an Expression Tree With Evaluate Function,https://leetcode.com/problems/design-an-expression-tree-with-evaluate-function/,7
Find Duplicate Subtrees,https://leetcode.com/problems/find-duplicate-subtrees/,7
Contiguous Array,https://leetcode.com/problems/contiguous-array/,7
Target Sum,https://leetcode.com/problems/target-sum/,7
Basic Calculator,https://leetcode.com/problems/basic-calculator/,7
Add and Search Word - Data structure design,https://leetcode.com/problems/add-and-search-word-data-structure-design/,7
Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,7
Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers/,7
Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii/,7
Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,7
Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,7
Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,7
Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,7
N-Queens,https://leetcode.com/problems/n-queens/,7
Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,7
Implement strStr(),https://leetcode.com/problems/implement-strstr/,7
Palindrome Number,https://leetcode.com/problems/palindrome-number/,7
Number of Laser Beams in a Bank,https://leetcode.com/problems/number-of-laser-beams-in-a-bank/,6
Time Needed to Inform All Employees,https://leetcode.com/problems/time-needed-to-inform-all-employees/,6
Longest ZigZag Path in a Binary Tree,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree/,6
Minimum Remove to Make Valid Parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/,6
Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,6
Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray/,6
Online Stock Span,https://leetcode.com/problems/online-stock-span/,6
Keys and Rooms,https://leetcode.com/problems/keys-and-rooms/,6
Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree/,6
Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,6
01 Matrix,https://leetcode.com/problems/01-matrix/,6
Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/,6
4Sum II,https://leetcode.com/problems/4sum-ii/,6
Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,6
Strong Password Checker,https://leetcode.com/problems/strong-password-checker/,6
Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum/,6
Frog Jump,https://leetcode.com/problems/frog-jump/,6
Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,6
Reverse String,https://leetcode.com/problems/reverse-string/,6
House Robber III,https://leetcode.com/problems/house-robber-iii/,6
Number of Connected Components in an Undirected Graph,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,6
Game of Life,https://leetcode.com/problems/game-of-life/,6
Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,6
Happy Number,https://leetcode.com/problems/happy-number/,6
Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,6
Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,6
Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,6
Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,6
Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,6
Add Binary,https://leetcode.com/problems/add-binary/,6
4 Sum,https://leetcode.com/problems/4sum/,6
Furthest Building You Can Reach,https://leetcode.com/problems/furthest-building-you-can-reach/,5
Sort Array by Increasing Frequency,https://leetcode.com/problems/sort-array-by-increasing-frequency/,5
Least Number of Unique Integers after K Removals,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals/,5
Number of Days Between Two Dates,https://leetcode.com/problems/number-of-days-between-two-dates/,5
Unique Number of Occurrences,https://leetcode.com/problems/unique-number-of-occurrences/,5
Next Greater Node In Linked List,https://leetcode.com/problems/next-greater-node-in-linked-list/,5
Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack/,5
Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list/,5
Reach a Number,https://leetcode.com/problems/reach-a-number/,5
Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs/,5
Delete and Earn,https://leetcode.com/problems/delete-and-earn/,5
Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii/,5
Valid Parenthesis String,https://leetcode.com/problems/valid-parenthesis-string/,5
Shortest Unsorted Continuous Subarray,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/,5
